form_id,pair_index,pair_type,item_A_id,item_A_text,item_A_category,item_B_id,item_B_text,item_B_category,response_options
F001,1,cross,V030,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F001,2,within,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,V005,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F001,3,cross,V023,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F001,4,cross,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V015,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your strength coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F001,5,within,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,V007,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F002,1,cross,V009,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F002,2,cross,V032,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,V015,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your strength coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F002,3,within,V022,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,V018,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F002,4,cross,V033,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your physician.",Performance/Team Readiness,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F002,5,within,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,V023,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F003,1,cross,V020,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your strength coach.,Performance/Load Management,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F003,2,cross,V035,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,V012,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F003,3,within,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,V032,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F003,4,cross,V033,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your physician.",Performance/Team Readiness,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F003,5,within,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,V028,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F004,1,cross,V005,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V027,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your physician.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F004,2,cross,V005,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V011,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F004,3,cross,V010,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F004,4,within,V011,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,V022,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
