Category,Name,Year,Landfall-5,Landfall-4
4,Isaac,2000,,
4,Keith,2000,,
4,Iris,2001,,Belize
4,Michelle,2001,,Cuba
4,Lili,2002,,
4,Fabian,2003,,
4,Charley,2004,,Florida
4,Frances,2004,,
4,Karl,2004,,
4,Dennis,2005,,Cuba
4,Gustav,2008,,Cuba
4,Ike,2008,,Cuba
4,Omar,2008,,
4,Paloma,2008,,
4,Bill,2009,,
4,Danielle,2010,,
4,Earl,2010,,
4,Igor,2010,,
4,Julia,2010,,
4,Katia,2011,,
4,Ophelia,2011,,
4,Gonzalo,2014,,
4,Joaquin,2015,,Bahamas
4,Nicole,2016,,
4,Harvey,2017,,Texas
4,Jose,2017,,
4,Florence,2018,,
4,Laura,2020,,Louisiana
4,Teddy,2020,,
4,Delta,2020,,
4,Eta,2020,,Nicaragua
4,Iota,2020,,Nicaragua
4,Ida,2021,,Louisiana
4,Sam,2021,,
4,Fiona,2022,,
4,Franklin,2023,,
4,Idalia,2023,,
4,Helene,2024,,Florida
4,Kirk,2024,,
4,Gabrielle,2025,,
5,Isabel,2003,,
5,Ivan,2004,,
5,Emily,2005,,Quintana Roo
5,Katrina,2005,,
5,Rita,2005,,
5,Wilma,2005,,Cozumel
5,Dean,2007,Quintana Roo,
5,Felix,2007,Nicaragua,
5,Matthew,2016,,Haiti
5,Irma,2017,Cuba,Florida
5,Maria,2017,Dominica,Puerto Rico
5,Michael,2018,Florida,
5,Dorian,2019,Bahamas,
5,Lorenzo,2019,,
5,Ian,2022,,Florida
5,Lee,2023,,
5,Beryl,2024,,Carriacou
5,Milton,2024,,
5,Erin,2025,,
5,Humberto,2025,,
5,Melissa,2025,Jamaica

